ENTRY            S0051   20120619                             S016S005100000001 
SUBENT        S0051001   20120619                             S016S005100100001 
BIB                 13         26                                 S005100100002 
TITLE      Threshold anomaly in the 19F+208Pb system              S005100100003 
AUTHOR     (C.J.Lin, J.C.Xu, H.Q.Zhang, Z.H.Liu, F.Yang, L.X.Lu)  S005100100004 
INSTITUTE  (3CPRAEP)                                              S005100100005 
REFERENCE  (J,PR/C,63,064606,2001)                                S005100100006 
           (J,JNRS,3,27,2002)                                     S005100100007 
FACILITY   (VDGT,3CPRAEP) HI-13 tandem accelerator                S005100100008 
SAMPLE     208Pb target of thickness about 100 ug/cm2 evaporated  S005100100009 
            onto 20 ug/cm2 carbon foil backing                    S005100100010 
METHOD     (EDE)                                                  S005100100011 
DETECTOR   (TELES,SIBAR) The reaction products were detected by   S005100100012 
            three pairs of Delta E-E telescope detectors with the S005100100013 
            total energy resolution less than 1.3%.               S005100100014 
           (SIBAR) Si(Au) surface barrier detector at -42.4 deg   S005100100015 
            to monitor elastic scattering                         S005100100016 
MONITOR    (82-PB-208(9-F-19,SCT)82-PB-208,PAR,DA,,RTH)           S005100100017 
            Data are normalized to Rutherford cross sections at   S005100100018 
             the forward angles.                                  S005100100019 
EN-SEC     (E-LVL,9-F-19) Two excitation levels (Ex=0.10989 and   S005100100020 
            0.19714 MeV) could not be separated.                  S005100100021 
ERR-ANALYS (DATA-ERR) The overall error is 3% for the forward     S005100100022 
            angles and gradually increases to 10% for the         S005100100023 
            backward angles.                                      S005100100024 
COMMENT    Data from two experimental runs are compiled in two    S005100100025 
            data subentries.                                      S005100100026 
HISTORY    (20090714C) Compiled by Yu Hongwei                     S005100100027 
           (20120619U) On. REFERENCE: PR/C added, 004 added       S005100100028 
ENDBIB              26          0                                 S005100100029 
COMMON               3          3                                 S005100100030 
E-LVL      E-LVL      E-LVL                                       S005100100031 
MEV        MEV        MEV                                         S005100100032 
 0.0000     0.10989    0.19714                                    S005100100033 
ENDCOMMON            3          0                                 S005100100034 
ENDSUBENT           33          0                                 S005100199999 
SUBENT        S0051002   20120619                             S016S005100200001 
BIB                  3          4                                 S005100200002 
REACTION   (82-PB-208(9-F-19,SCT)82-PB-208,PAR,DA,,RTH)           S005100200003 
STATUS     (TABLE) Data received from Lin Chengjian               S005100200004 
           (COREL,S0051003) Data from another experimental run    S005100200005 
HISTORY    (20120619U) On. STATUS: COREL added                    S005100200006 
ENDBIB               4          0                                 S005100200007 
NOCOMMON             0          0                                 S005100200008 
DATA                 4        104                                 S005100200009 
EN         ANG-CM     DATA       DATA-ERR                         S005100200010 
MEV        ADEG       NO-DIM     NO-DIM                           S005100200011 
  88.            73.79      0.981    6.4E-02                      S005100200012 
  88.            73.79      0.919    4.4E-02                      S005100200013 
  88.            83.43      0.978    6.9E-02                      S005100200014 
  88.            93.54      1.008    8.9E-02                      S005100200015 
  88.            93.54      1.033    6.9E-02                      S005100200016 
  88.           104.08       1.06    6.4E-02                      S005100200017 
  88.           113.86      1.057     8.E-02                      S005100200018 
  88.           113.86      1.071    6.5E-02                      S005100200019 
  88.           122.91      0.949    6.5E-02                      S005100200020 
  88.           132.41      0.936    7.7E-02                      S005100200021 
  88.           132.41      0.923    7.6E-02                      S005100200022 
  88.           138.05      0.828    5.8E-02                      S005100200023 
  88.           142.34      0.838     5.E-02                      S005100200024 
  88.           147.17      0.806    8.3E-02                      S005100200025 
  88.           147.45      0.747     9.E-02                      S005100200026 
  88.           151.88      0.749    6.8E-02                      S005100200027 
  88.           156.02      0.747    7.1E-02                      S005100200028 
  88.           160.24       0.67    6.4E-02                      S005100200029 
  88.           164.99      0.674    7.7E-02                      S005100200030 
  88.           165.26      0.662    7.2E-02                      S005100200031 
  88.           169.63      0.629    6.1E-02                      S005100200032 
  91.            74.92      1.157    4.4E-02                      S005100200033 
  91.            85.16      0.867    6.5E-02                      S005100200034 
  91.            94.64      1.107     5.E-02                      S005100200035 
  91.            95.24       1.02    9.2E-02                      S005100200036 
  91.           104.57      0.919     9.E-02                      S005100200037 
  91.           105.16      1.005      0.115                      S005100200038 
  91.           110.06      1.286      0.121                      S005100200039 
  91.           110.06      0.989    5.3E-02                      S005100200040 
  91.           114.34      0.869    8.2E-02                      S005100200041 
  91.           114.83      0.882    7.2E-02                      S005100200042 
  91.           114.92      1.187      0.214                      S005100200043 
  91.           123.96      0.812     9.E-02                      S005100200044 
  91.           124.54      0.817    7.2E-02                      S005100200045 
  91.           128.72      1.017      0.119                      S005100200046 
  91.           128.72       1.01     6.E-02                      S005100200047 
  91.           133.35      0.633    5.6E-02                      S005100200048 
  91.           133.45      0.937    7.3E-02                      S005100200049 
  91.           134.01      0.599    3.3E-02                      S005100200050 
  91.           142.71      0.463    3.6E-02                      S005100200051 
  91.           142.81      0.469     5.E-02                      S005100200052 
  91.           152.07      0.358    3.6E-02                      S005100200053 
  91.            160.6      0.295    3.3E-02                      S005100200054 
  93.            73.89      0.932     3.E-02                      S005100200055 
  93.            83.43      0.865    7.9E-02                      S005100200056 
