ENTRY            S0082   20170704                             S022S0082  0    1 
SUBENT        S0082001   20170704                             S022S0082  1    1 
BIB                 13         31                                 S0082  1    2 
TITLE      Fissions in 32S+184W and 34S+186W reactions at near-   S0082  1    3 
           and sub-barrier energies                               S0082  1    4 
AUTHOR     (C.J.Lin, H.Q.Zhang, H.M.Jia, F.Yang, Z.H.Liu, X.X.Xu, S0082  1    5 
           L.Yang, P.F.Bao, L.J.Sun, K.Nishio, H.Ikezoe,          S0082  1    6 
           S.Mitsuoka, K.Satou)                                   S0082  1    7 
INSTITUTE  (3CPRAEP,2JPNJAE)                                      S0082  1    8 
REFERENCE  (J,JP/CS,420,012126,2013)                              S0082  1    9 
           #doi:10.1088/1742-6596/420/1/012126                    S0082  1   10 
FACILITY   (VDGT,2JPNJAE) For 34S+186W system, the experiment     S0082  1   11 
           was performed at the tandem booster accelerator.       S0082  1   12 
SAMPLE     186W target with thickness about 200 mug/cm2 were      S0082  1   13 
           supported by an about 20 mug/cm2 carbon foil backing.  S0082  1   14 
DETECTOR   (SIBAR,SISD) For 34S+186W system, three individual     S0082  1   15 
           Si(Au) surface barrier detectors fixed at the forward  S0082  1   16 
           angles of 35.6, 60.6 and 85.6 degree. Two Si-strip     S0082  1   17 
           detectors with areas of 50*50 mm2 at the backward      S0082  1   18 
           angles.                                                S0082  1   19 
PART-DET   (FF)                                                   S0082  1   20 
METHOD     (COINC) Data from the two strip detectors were         S0082  1   21 
           recorded in the coincidence mode with the requirement  S0082  1   22 
           that each detector was struck by a fission fragment    S0082  1   23 
           and the folding angle between the hits corresponded    S0082  1   24 
           to a full momentum transfer event.                     S0082  1   25 
ERR-ANALYS (DATA-ERR) No information.                             S0082  1   26 
STATUS     (TABLE) Data were received from C.J.Lin.               S0082  1   27 
           (APRVD) Approved by C.J.Lin.                           S0082  1   28 
REL-REF    (O,S0069001,H.Q.Zhang+,J,PR/C,81,034611,2010)          S0082  1   29 
           The fission excitation function and angular            S0082  1   30 
           distributions of fission fragments for 32S+184W were   S0082  1   31 
           given.                                                 S0082  1   32 
HISTORY    (20161103C) Compiled by Wang Jimin (CNDC).             S0082  1   33 
ENDBIB              31          0                                 S0082  1   34 
NOCOMMON             0          0                                 S0082  1   35 
ENDSUBENT           34          0                                 S0082  199999 
SUBENT        S0082002   20170704                             S022S0082  2    1 
BIB                  2          2                                 S0082  2    2 
REACTION   (74-W-186(16-S-34,F)MASS,PRE,FY)                       S0082  2    3 
MISC-COL   (MISC) Fission fragment detection angle.               S0082  2    4 
ENDBIB               2          0                                 S0082  2    5 
NOCOMMON             0          0                                 S0082  2    6 
DATA                 5        303                                 S0082  2    7 
EN         MASS       DATA       DATA-ERR   MISC                  S0082  2    8 
MEV        NO-DIM     PC/FIS     PC/FIS     ADEG                  S0082  2    9 
       148.        50.     0.0408     0.0407       85.6           S0082  2   10 
       148.        56.     0.0408     0.0407       85.6           S0082  2   11 
       148.        59.     0.2038     0.0913       85.6           S0082  2   12 
       148.        62.     0.3260     0.1155       85.6           S0082  2   13 
       148.        65.     0.3260     0.1155       85.6           S0082  2   14 
       148.        68.     0.4483     0.1356       85.6           S0082  2   15 
       148.        71.     0.3668     0.1226       85.6           S0082  2   16 
       148.        74.     0.6113     0.1586       85.6           S0082  2   17 
       148.        77.     0.8965     0.1924       85.6           S0082  2   18 
       148.        80.     0.9780     0.2011       85.6           S0082  2   19 
       148.        83.     1.3447     0.2364       85.6           S0082  2   20 
       148.        86.     1.5892     0.2575       85.6           S0082  2   21 
       148.        89.     2.1190     0.2985       85.6           S0082  2   22 
       148.        92.     3.1377     0.3659       85.6           S0082  2   23 
       148.        95.     2.8932     0.3507       85.6           S0082  2   24 
       148.        98.     2.8525     0.3482       85.6           S0082  2   25 
       148.       101.     3.5452     0.3901       85.6           S0082  2   26 
       148.       104.     4.8492     0.4604       85.6           S0082  2   27 
       148.       107.     4.1565     0.4242       85.6           S0082  2   28 
       148.       110.     5.2160     0.4787       85.6           S0082  2   29 
       148.       113.     4.1565     0.4242       85.6           S0082  2   30 
       148.       116.     4.8492     0.4604       85.6           S0082  2   31 
       148.       119.     3.5452     0.3901       85.6           S0082  2   32 
       148.       122.     2.8525     0.3482       85.6           S0082  2   33 
       148.       125.     2.8932     0.3507       85.6           S0082  2   34 
       148.       128.     3.1377     0.3659       85.6           S0082  2   35 
       148.       131.     2.1190     0.2985       85.6           S0082  2   36 
       148.       134.     1.5892     0.2575       85.6           S0082  2   37 
       148.       137.     1.3447     0.2364       85.6           S0082  2   38 
       148.       140.     0.9780     0.2011       85.6           S0082  2   39 
       148.       143.     0.8965     0.1924       85.6           S0082  2   40 
       148.       146.     0.6113     0.1586       85.6           S0082  2   41 
       148.       149.     0.3668     0.1226       85.6           S0082  2   42 
       148.       152.     0.4483     0.1356       85.6           S0082  2   43 
       148.       155.     0.3260     0.1155       85.6           S0082  2   44 
       148.       158.     0.3260     0.1155       85.6           S0082  2   45 
       148.       161.     0.2038     0.0913       85.6           S0082  2   46 
       148.       164.     0.0408     0.0407       85.6           S0082  2   47 
       148.       170.     0.0408     0.0407       85.6           S0082  2   48 
       163.        50.     0.0408     0.0182       35.6           S0082  2   49 
       163.        50.     0.0226     0.0085       60.6           S0082  2   50 
       163.        50.     0.0077     0.0054       85.6           S0082  2   51 
       163.        53.     0.0326     0.0163       35.6           S0082  2   52 
       163.        53.     0.0484     0.0125       60.6           S0082  2   53 
