ENTRY            S0096   20170704                             S022S0096  0    1 
SUBENT        S0096001   20170704                             S022S0096  1    1 
BIB                  9         29                                 S0096  1    2 
TITLE      Optical model potentials for the 6He+209Bi reaction    S0096  1    3 
           from a 208Pb(7Li,6He)209Bi reaction analysis           S0096  1    4 
AUTHOR     (L.Yang, C.J.Lin, H.M.Jia, F.Yang, Z.D.Wu, X.X.Xu,     S0096  1    5 
           H.Q.Zhang, Z.H.Liu, P.F.Bao, L.J.Sun, N.R.Ma)          S0096  1    6 
INSTITUTE  (3CPRAEP)                                              S0096  1    7 
REFERENCE  (J,PR/C,89,044615,2014)                                S0096  1    8 
           #doi:10.1103/PhysRevC.89.044615                        S0096  1    9 
FACILITY   (VDGT,3CPRAEP) The 7Li beam provided by the HI-13      S0096  1   10 
           tandem accelerator.                                    S0096  1   11 
SAMPLE     208Pb target with thickness of about 120 ug/cm2 on     S0096  1   12 
           a 20 ug/cm2 12C backing.                               S0096  1   13 
DETECTOR   (SIBAR) Two Si(Au) detectors were placed at +-10       S0096  1   14 
           degree to monitor the current quality. A detector      S0096  1   15 
           array including 7 Si(Au) surface-barrier detectors,    S0096  1   16 
           with an interval of 10 degree, was mounted on a        S0096  1   17 
           rotatable arm in the reaction chamber to detect        S0096  1   18 
           scattering particles at -20 deg to 140 deg.            S0096  1   19 
           (MAGSP) The Q3D magnetic spectrometer coupled with a   S0096  1   20 
           multilayer position-sensitive focal plane gas          S0096  1   21 
           detector was employed to select and detect the exited  S0096  1   22 
           transfer products.                                     S0096  1   23 
           (TELES,SIBAR,SIBAR) In order to detect the transfer    S0096  1   24 
           products in the range of backward angles, three delta  S0096  1   25 
           E-E Si(Au) telescopes were fixed at the backward       S0096  1   26 
           angles of 150., 160., and 170. degree in laboratory    S0096  1   27 
           system in the reaction chamber.                        S0096  1   28 
STATUS     (TABLE) Data were received from C.J.Lin.               S0096  1   29 
           (APRVD) Approved by C.J.Lin.                           S0096  1   30 
HISTORY    (20170630C) Compiled by WANG Jimin (CNDC).             S0096  1   31 
ENDBIB              29          0                                 S0096  1   32 
NOCOMMON             0          0                                 S0096  1   33 
ENDSUBENT           32          0                                 S0096  199999 
SUBENT        S0096002   20170704                             S022S0096  2    1 
BIB                  2          3                                 S0096  2    2 
REACTION   (82-PB-208(3-LI-7,EL)82-PB-208,,DA,,RTH)               S0096  2    3 
ERR-ANALYS (DATA-ERR) Errors include statistical errors and       S0096  2    4 
           fitting uncertainties                                  S0096  2    5 
ENDBIB               3          0                                 S0096  2    6 
NOCOMMON             0          0                                 S0096  2    7 
DATA                 4        138                                 S0096  2    8 
EN         ANG-CM     DATA       DATA-ERR                         S0096  2    9 
MEV        ADEG       NO-DIM     NO-DIM                           S0096  2   10 
      25.67      32.40   1.01E+00   5.08E-02                      S0096  2   11 
      25.67      37.54   1.02E+00   5.09E-02                      S0096  2   12 
      25.67      42.42   1.02E+00   5.11E-02                      S0096  2   13 
      25.67      47.54   1.03E+00   5.17E-02                      S0096  2   14 
      25.67      52.19   9.82E-01   4.92E-02                      S0096  2   15 
      25.67      57.29   9.96E-01   5.00E-02                      S0096  2   16 
      25.67      61.67   9.77E-01   4.92E-02                      S0096  2   17 
      25.67      66.75   9.85E-01   4.96E-02                      S0096  2   18 
      25.67      71.76   9.88E-01   4.99E-02                      S0096  2   19 
      25.67      76.81   9.83E-01   4.97E-02                      S0096  2   20 
      25.67      81.70   1.00E+00   5.06E-02                      S0096  2   21 
      25.67      86.72   1.00E+00   5.04E-02                      S0096  2   22 
      25.67      88.32   9.79E-01   4.95E-02                      S0096  2   23 
      25.67      91.08   1.02E+00   5.15E-02                      S0096  2   24 
      25.67      93.33   9.98E-01   5.06E-02                      S0096  2   25 
      25.67      96.07   9.89E-01   5.01E-02                      S0096  2   26 
      25.67      98.07   9.73E-01   4.94E-02                      S0096  2   27 
      25.67     103.04   9.97E-01   5.07E-02                      S0096  2   28 
      25.67     107.56   9.72E-01   4.91E-02                      S0096  2   29 
      25.67     112.50   9.91E-01   5.01E-02                      S0096  2   30 
      25.67     116.75   1.01E+00   5.11E-02                      S0096  2   31 
      25.67     121.67   1.00E+00   5.07E-02                      S0096  2   32 
      25.67     126.53   1.02E+00   5.14E-02                      S0096  2   33 
      25.67     131.43   9.87E-01   5.01E-02                      S0096  2   34 
      25.67     136.17   1.02E+00   5.12E-02                      S0096  2   35 
      25.67     141.04   1.01E+00   5.08E-02                      S0096  2   36 
      25.67     145.28   1.03E+00   5.22E-02                      S0096  2   37 
      25.67     150.14   1.02E+00   5.15E-02                      S0096  2   38 
      25.67     150.96   1.03E+00   1.03E-01                      S0096  2   39 
      25.67     160.66   9.58E-01   9.58E-02                      S0096  2   40 
      25.67     170.33   9.75E-01   9.75E-02                      S0096  2   41 
      28.55      52.91   1.00E+00   5.02E-02                      S0096  2   42 
      28.55      62.84   1.01E+00   5.08E-02                      S0096  2   43 
      28.55      72.52   9.93E-01   4.98E-02                      S0096  2   44 
      28.55      81.90   9.85E-01   4.96E-02                      S0096  2   45 
      28.55      91.88   9.90E-01   4.99E-02                      S0096  2   46 
      28.55      93.33   9.86E-01   4.95E-02                      S0096  2   47 
