ENTRY            T0031   19990819                             0000T003100000001 
SUBENT        T0031001   19990819                             0000T003100100001 
BIB                  9         15                                 T003100100002 
INSTITUTE  (1USAANL)                                              T003100100003 
REFERENCE  (J,PR/C,22,1406,198010)                                T003100100004 
           (J,IRE,28,1344,198104)                                 T003100100005 
AUTHOR     (A.J.ELWYN,R.E.HOLLAND,C.N.DAVIDS,J.E.MONAHAN,         T003100100006 
           F.P.MOORING,W.RAY JR)                                  T003100100007 
TITLE      Cross sections for the 6Li(3He,p) reaction at energies T003100100008 
            below 2 MeV                                           T003100100009 
FACILITY   (DYNAM) The Argonne Dynamitron accelerator             T003100100010 
SAMPLE     Thin films of 6LiF evaporated onto various backing     T003100100011 
            materials.                                            T003100100012 
MONITOR    Energy scale calibrated using neutron threshold in     T003100100013 
            7Li(p,n) reaction (1.8806 MeV) and at 872.11 and      T003100100014 
            340.46 keV resonances in 19F(p,alpha)16O.             T003100100015 
STATUS     (APRVD) approved by A.J. Elwyn, 19 August 1999.        T003100100016 
HISTORY    (19990407A) Converted from F0027 by VNIIEF (SD).       T003100100017 
ENDBIB              15          0                                 T003100100018 
NOCOMMON             0          0                                 T003100100019 
ENDSUBENT           18          0                                 T003100199999 
SUBENT        T0031002   19990729                             0000T003100200001 
BIB                  7         11                                 T003100200002 
REACTION   (3-LI-6(HE3,P)4-BE-8,PAR,DA)                           T003100200003 
SAMPLE     Thin films of 6LiF evaporated onto thick Ta disks.     T003100200004 
DETECTOR   (SOLST) Two Si surface barrier detectors covered with  T003100200005 
            thin Al foils used to detect protons, while a third   T003100200006 
            detector at back angles acted as a monitor.           T003100200007 
METHOD     (TOF)                                                  T003100200008 
           Proton yields measured relative to ground state.       T003100200009 
MONITOR    (3-LI-6(HE3,P)4-BE-8,PAR,DA)                           T003100200010 
ERR-ANALYS (DATA-ERR) Uncertainty represents relative uncertainty T003100200011 
            due to counting statistics.                           T003100200012 
STATUS     Data received from A.J. Elwyn, 18 June 1999.           T003100200013 
ENDBIB              11          0                                 T003100200014 
COMMON               1          3                                 T003100200015 
E-LVL                                                             T003100200016 
MEV                                                               T003100200017 
 0.                                                               T003100200018 
ENDCOMMON            3          0                                 T003100200019 
DATA                 4        216                                 T003100200020 
EN         ANG-CM     DATA-CM    DATA-ERR                         T003100200021 
MEV        ADEG       MB/SR      MB/SR                            T003100200022 
 0.461       0.        0.0031     0.0002                          T003100200023 
 0.461      25.8       0.0029     0.0002                          T003100200024 
 0.461      46.4       0.0028     0.0002                          T003100200025 
 0.461      61.7       0.0022     0.0002                          T003100200026 
 0.461      91.9       0.0017     0.0002                          T003100200027 
 0.461     121.7       0.0022     0.0001                          T003100200028 
 0.461     136.4       0.0028     0.0002                          T003100200029 
 0.461     155.8       0.0030     0.0002                          T003100200030 
 0.558       0.        0.0088     0.0003                          T003100200031 
 0.558      25.9       0.0075     0.0003                          T003100200032 
 0.558      46.5       0.0067     0.0003                          T003100200033 
 0.558      61.8       0.0064     0.0003                          T003100200034 
 0.558      92.1       0.0044     0.0002                          T003100200035 
 0.558     121.8       0.0059     0.0002                          T003100200036 
 0.558     136.5       0.0067     0.0003                          T003100200037 
 0.558     155.9       0.0075     0.0003                          T003100200038 
 0.657       0.        0.041      0.0013                          T003100200039 
 0.657      15.6       0.039      0.0013                          T003100200040 
 0.657      26.0       0.039      0.0014                          T003100200041 
 0.657      36.3       0.037      0.0013                          T003100200042 
 0.657      46.6       0.035      0.0013                          T003100200043 
 0.657      62.0       0.028      0.0011                          T003100200044 
 0.657      77.2       0.024      0.0010                          T003100200045 
 0.657      92.3       0.023      0.0010                          T003100200046 
 0.657     102.3       0.024      0.0010                          T003100200047 
 0.657     112.2       0.025      0.0010                          T003100200048 
 0.657     122.0       0.028      0.0011                          T003100200049 
 0.657     136.6       0.037      0.0014                          T003100200050 
 0.657     146.3       0.040      0.0014                          T003100200051 
 0.657     156.0       0.042      0.0015                          T003100200052 
 0.739       0.        0.106      0.002                           T003100200053 
 0.739      15.6       0.101      0.002                           T003100200054 
 0.739      26.0       0.103      0.003                           T003100200055 
 0.739      36.4       0.101      0.002                           T003100200056 
 0.739      46.7       0.095      0.002                           T003100200057 
 0.739      62.1       0.086      0.002                           T003100200058 
 0.739      77.3       0.089      0.002                           T003100200059 
 0.739      92.4       0.082      0.002                           T003100200060 
 0.739     102.4       0.087      0.002                           T003100200061 
 0.739     112.3       0.086      0.002                           T003100200062 
 0.739     122.1       0.089      0.002                           T003100200063 
 0.739     136.7       0.099      0.002                           T003100200064 
 0.739     146.4       0.105      0.003                           T003100200065 
 0.739     156.0       0.119      0.003                           T003100200066 
 0.787       0.        0.150      0.004                           T003100200067 
 0.787      15.6       0.148      0.004                           T003100200068 
 0.787      26.1       0.142      0.003                           T003100200069 
